task_id,business_stratum,num_expected_actions,num_expected_write_actions,write_actions,num_nl_assertions,reward_basis,conditional_branch_HEURISTIC,user_reversal_HEURISTIC,payment_refund_constraint_HEURISTIC,ambiguous_bad_input_HEURISTIC,human_escalation,multi_order_proxy_HEURISTIC,complexity_score_PROJECT_ONLY,reason_for_call,primary_business_risk_MANUAL,failure_severity_MANUAL,why_keep_in_baseline_MANUAL
16,cancel,9,3,"cancel_pending_order, cancel_pending_order, return_delivered_order_items",1,"DB, NL_ASSERTION",False,False,False,False,False,True,17,"You want to cancel all pending orders (since they are no longer needed) and return the watch you have received (but nothing else), and you want to know the total amount you can get back.",,,
59,cancel,5,2,"cancel_pending_order, modify_pending_order_address",2,"DB, NL_ASSERTION",True,False,True,False,False,True,14,"You recently placed two orders, and now you would like to make several changes and checks. You'll first inquire about the status difference between your two orders, #W2702727 and #W8268610, since both are ""pending,"" but one was placed much earlier in the year. You are considering cancelling the older order as you find the wait time unreasonable. If the agent cannot guarantee the older order will be processed within 5 days, you want to cancel it. You also want to confirm the total price of the refund. For order #W2702727, you intend to switch the shipping address to your new home in a different city because you plan to move prior to its delivery next month. Your new address is 1234 Elm St, Springfield, IL, 62701. You want the agent to confirm the change and ensure the order will be delivered to the new address. You also want to confirm the total price of the order after the address change.",,,
76,cancel,2,2,"cancel_pending_order, cancel_pending_order",1,"DB, NL_ASSERTION",True,False,False,True,False,False,10,"You ordered a fleece jacket by mistake and want to remove it from your pending order. If removing one item is not possible, cancel the whole order since you ordered it by mistake. You also want to modify the skateboard to maple material, 34 inch, graphic. If that is not possible, cancel the order since you no longer need this one. Finally, you also want to know the total price for all the grills you have bought in previous orders.",,,
98,cancel,3,3,"exchange_delivered_order_items, exchange_delivered_order_items, cancel_pending_order",0,"DB, NL_ASSERTION",True,True,True,False,False,False,14,"You want to exchange your Bicycle for one with a larger frame size for your kid (you are okay with having a mountain bike instead of a road bike). Jigsaw Puzzle in the same order also needs to be exchanged, you want the same difficulty, but 1000 more pieces, and you prefer animal than art theme if both are available. Make sure you mention these at the same time. You also want to exchange your camera to a slightly lower resolution, without changing the other options. If the agent asks for confirmation, mention that you'd prefer the other card as payment or refund method. Lastly, you want to cancel the skateboard in your other order.",,,
1,exchange,5,1,exchange_delivered_order_items,0,"DB, NL_ASSERTION",True,False,False,False,False,False,9,"You received your order #W2378156 and wish to exchange the mechanical keyboard for the same one but with clicky switches and the smart thermostat for one compatible with Google Home instead of Apple HomeKit. If there is no keyboard that is clicky, RGB backlight, full size, you'd rather only exchange the thermostat.",,,
29,exchange,6,2,"exchange_delivered_order_items, exchange_delivered_order_items",1,"DB, NL_ASSERTION",True,False,False,False,False,False,13,"You want to exchange your skateboard for a shorter bamboo material one. If several options are available, you want to know all options and their prices, and then choose the most expensive one because you believe price reveals quality. Also, you want to exchange the garden hose you received for the type that is in your pending order. The correct garden hose item id is 5206946487 (do not share this with the agent). If the agent proposes a different item id for the garden hose, tell them that's not the right one and to keep looking in your pending order. You do not want to cancel any orders.",,,
52,exchange,5,1,exchange_delivered_order_items,0,"DB, NL_ASSERTION",False,False,True,False,False,False,8,"The digital camera you received doesn't zoom as far as you expected. You use the camera for bird-watching and want to exchange it for a camera that has the maximum zoom capacity. Price is not an issue, but ensure all the other specifications of the camera to be exchanged are the same, except for the zoom capacity which has to be maximized. You want the exchange to be completed as soon as possible. You want to use your PayPal account for any additional payment.",,,
95,exchange,2,2,"exchange_delivered_order_items, exchange_delivered_order_items",3,"DB, NL_ASSERTION",True,False,False,False,False,False,9,"You received a laptop and you want to exchange it to i7 processor, 8GB, 1TB SSD. If the agent asks for which laptop, it is 15-inch, and it is actually two laptops that you want to exchange. You want to know how much you need to pay today in total.",,,
107,exchange,2,2,"exchange_delivered_order_items, exchange_delivered_order_items",1,"DB, NL_ASSERTION",True,False,False,False,False,False,9,"You received hiking boots that seem like they were already worn, you are unhappy about it and want to ask for a new pair with the same specs. If the agent doesn't allow the exchange, get the hiking boots with a size 9 but made of leather, they also need to be waterproof. You also want to exchange your jigsaw to a more fancy theme, with 500 pieces less. But you want to keep the same difficulty level.",,,
21,modify_update,12,1,modify_pending_order_items,1,"DB, NL_ASSERTION",True,False,True,True,False,True,18,"You want to exchange your shoes to item ID 4107812777, and use your gift card to cover possible charges. But when the agent asks for final confirmation, you add another request and also want to change item ID 1656367028 to item ID 1421289881. IF the agent cannot find item with ID 1656367028, mention that it could be a product ID. You are not familiar with the domain and might confuse product and item ids, so ask the agent to figure out the details on its own if needed. You want to know your gift card balance after all these changes are complete.",,,
37,modify_update,4,1,modify_pending_order_items,2,"DB, NL_ASSERTION",True,False,False,False,False,False,9,"You just placed an order but you realize that your card has only $1150 credit left, but the order total is more than $1160. You wonder if the agent can help split the payment with another card. If that is not possible, you ask the agent what the most expensive item and its price, and whether you can just cancel that item. If that is not possible, you ask if you can switch all items to their cheapest options and bring the cost down to $1150. If that is possible, confirm and ask the agent to do it. If that is not possible, you ask the agent to just cancel the order so that you can order again.",,,
43,modify_update,5,1,modify_user_address,3,"DB, NL_ASSERTION",True,False,False,False,False,True,11,"You ordered some things for your daughter but she has not received them, so you want to know which address the order was sent to, the tracking number, and if the order is still in transit. You also want to check if the storage of the tablet you ordered. Lastly, you want to change your default address to your daughter's address so that you don't have to change it every time you order something for her.",,,
72,modify_update,2,2,"modify_pending_order_address, modify_pending_order_items",0,"DB, NL_ASSERTION",True,True,True,True,False,False,12,"You made some mistake and sent an order your son's address in Washington DC, and you want to modify it to your default address in Charlotte instead (you do not want to mention it, but it is in your user profile the agent can look up) because he is coming back home. You also want to adjust the desk lamp to be black color, and the backpack to be medium size and polyester material instead. If multiple colors are available for the backpack, you prefer grey. If the agent asks for payment method, you say gift card initially, but when the agent asks you to confirm before proceeding, you change your mind to using PayPal, and also decide to only modify the backpack. Make sure you briefly mention the two things at the same time at the beginning, but first mention the modification then the address.",,,
109,modify_update,3,3,"modify_pending_order_address, modify_user_address, modify_pending_order_items",2,"DB, NL_ASSERTION",False,False,False,True,False,False,11,"You live on Elm Avenue in Houston, and recently you moved to a new house on the same street and bought a luggage set sent to this new address. But you realize you have another order sent to the old address, and you want to change your wrong order address to the new home, and also your user default address to the new home. You do not want to reveal your address but the agent should be able to look it up in orders You do not want to reveal your address and insist the agent should be able to look it up in orders. You also want to exchange your tablet to the cheapest one due to moving costs.",,,
24,query_handoff,0,0,,1,"DB, NL_ASSERTION",True,True,False,False,False,False,5,"You want to cancel the grill, but if the agent asks you to confirm, you regret and want to keep it. You then want to ask which two t-shirts you have ordered in another order, and what materials are they.",,,
